"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
9.80064343466453e-146,1.38610706881297,0.846,0.668,3.3495659066653e-141,"MT-ND3","L2/3 IT"
6.73151371392673e-87,1.43046029738118,0.497,0.316,2.30062944200874e-82,"MTRNR2L12","L2/3 IT"
3.75554062584531e-26,-1.46387757037441,0.071,0.144,1.28353111969515e-21,"AC112481.2","L2/3 IT"
3.14591094374864e-23,-1.42724963646191,0.061,0.126,1.07517798324497e-18,"AC004053.1","L2/3 IT"
5.64768453785685e-21,-1.37371843535371,0.06,0.12,1.93020914450334e-16,"LINC01478","L2/3 IT"
7.02718961866697e-20,-1.3537041241731,0.057,0.114,2.40168259597181e-15,"AC004828.2","L2/3 IT"
8.91443930747998e-20,-1.62938011501567,0.063,0.121,3.04668792211743e-15,"PEX5L-AS2","L2/3 IT"
5.80161441001834e-19,-1.3593960552324,0.062,0.118,1.98281775691197e-14,"C3orf49","L2/3 IT"
3.51787984347711e-16,2.31501569438735,0.226,0.166,1.20230579410517e-11,"HS3ST2","L2/3 IT"
2.49969431114496e-08,1.57753019021033,0.137,0.101,0.000854320524720013,"INHBA","L2/3 IT"
1.11923559159277e-84,1.37455326451786,0.475,0.24,3.8252114813866e-80,"MTRNR2L12","L5 IT"
1.43022753060203e-68,1.1968466277792,0.336,0.15,4.88808863133856e-64,"ADAMTS2","L5 IT"
2.37076850182101e-20,-1.46990563209398,0.232,0.322,8.10257550867367e-16,"PLP1","L5 IT"
1.81899224367642e-16,-1.16173441988414,0.342,0.416,6.2167697912129e-12,"AC034268.2","L5 IT"
3.13445978942548e-16,-1.45487316199573,0.161,0.241,1.07126432223195e-11,"AC009041.2","L5 IT"
2.13723191734158e-09,-1.14061115695713,0.128,0.183,7.30441752389831e-05,"AL160254.1","L5 IT"
2.18205655002874e-09,-1.26218894353484,0.068,0.115,7.45761467103323e-05,"AC009554.1","L5 IT"
1.19087579501161e-08,-1.42894161743075,0.061,0.104,0.000407005620461118,"AL162719.1","L5 IT"
6.22696712407296e-08,-1.33297235269867,0.074,0.117,0.00212819055399442,"GAD1","L5 IT"
3.54127009683317e-07,-1.1731793991595,0.111,0.156,0.0121029988099467,"GNG12-AS1","L5 IT"
1.18492850063053e-64,1.67229368443405,0.57,0.359,4.04973013660497e-60,"MTRNR2L12","L4 IT"
9.57833818262727e-22,-1.92096425880057,0.039,0.115,3.27358864067652e-17,"LINC01515","L4 IT"
1.47738532411119e-21,-1.74539919026381,0.042,0.121,5.0492598222148e-17,"TRPA1","L4 IT"
3.90365333603947e-21,1.6502150544978,0.241,0.141,1.33415160065821e-16,"FP236383.3","L4 IT"
1.81973212663578e-20,-1.6954538515343,0.038,0.112,6.21929848920309e-16,"AL139147.1","L4 IT"
1.85621234128473e-19,-1.58615858599033,0.046,0.121,6.34397691880881e-15,"AC092338.3","L4 IT"
6.12655703309494e-17,-1.67180243287831,0.049,0.119,2.09387339720086e-12,"AC019130.1","L4 IT"
1.35187376915118e-14,1.66715900810669,0.129,0.063,4.620298980828e-10,"FP671120.4","L4 IT"
1.54151260794128e-14,1.90622244207366,0.106,0.046,5.26842764016092e-10,"MTRNR2L1","L4 IT"
2.09538350706969e-13,-1.58990123276855,0.043,0.1,7.16139221211207e-09,"ANGPTL1","L4 IT"
2.08035563950789e-45,1.58315256369141,0.707,0.487,7.11003146914611e-41,"MT-ND3","Astrocyte"
4.12485945655143e-39,1.64265948106305,0.703,0.497,1.40975321646558e-34,"MT-ATP6","Astrocyte"
2.07413019756182e-38,1.53708562625931,0.709,0.517,7.08875477620702e-34,"MT-ND4","Astrocyte"
6.0954408659327e-37,1.70813511722769,0.659,0.462,2.08323882474982e-32,"MT-CYB","Astrocyte"
2.31349343564038e-35,1.38361147713085,0.742,0.558,7.90682651498814e-31,"MT-CO2","Astrocyte"
4.24530205112029e-34,1.5505876037402,0.74,0.561,1.45091688201138e-29,"MT-CO3","Astrocyte"
1.0411702934663e-32,1.63820840901022,0.591,0.394,3.55840771197976e-28,"MT-ND1","Astrocyte"
1.3643383363176e-28,1.51940841442007,0.579,0.39,4.66289913203266e-24,"MT-ND2","Astrocyte"
1.78242146113974e-23,1.71672354405626,0.333,0.171,6.0917818277373e-19,"MTRNR2L12","Astrocyte"
4.72520359857878e-12,1.26297975010508,0.277,0.168,1.61493283388627e-07,"MT-ND4L","Astrocyte"
3.91672469701089e-58,1.38669403258025,0.554,0.302,1.33861899969741e-53,"MT-ND3","Oligodendrocyte"
1.18643479055988e-46,1.25045110572464,0.547,0.325,4.0548781836965e-42,"MT-ATP6","Oligodendrocyte"
2.30062944356402e-36,1.26282254763572,0.441,0.251,7.86286124926873e-32,"MT-ND1","Oligodendrocyte"
8.56500742667148e-23,1.25485354985301,0.203,0.088,2.92726258821351e-18,"MT-ND4L","Oligodendrocyte"
3.49570135678613e-18,1.35448813301451,0.157,0.065,1.1947258527088e-13,"KCNIP3","Oligodendrocyte"
4.60676876341476e-14,1.33128511928197,0.154,0.074,1.57445536027226e-09,"ATAD3C","Oligodendrocyte"
1.04640821725881e-13,1.42618260614492,0.138,0.064,3.57630936412545e-09,"MRPS6","Oligodendrocyte"
4.88695586312779e-13,1.3282036306552,0.148,0.072,1.67021490534118e-08,"SLC5A3","Oligodendrocyte"
1.37911348959163e-11,1.95919593709647,0.105,0.046,4.7133961733773e-07,"HSPB1","Oligodendrocyte"
4.32188261531935e-10,1.42862582658855,0.185,0.11,1.47708982143769e-05,"DNAJB1","Oligodendrocyte"
5.26011046868535e-34,1.5702085165745,0.728,0.476,1.79774795488259e-29,"MT-ND3","Microglia-PVM"
2.78624260712484e-29,1.31903914279131,0.758,0.535,9.52254135837058e-25,"MT-ND4","Microglia-PVM"
3.72013142609873e-29,1.48567994021559,0.744,0.528,1.27142931749776e-24,"MT-ATP6","Microglia-PVM"
6.23094365304935e-26,1.36397929609634,0.69,0.484,2.12954961230268e-21,"MT-CYB","Microglia-PVM"
9.53683316348436e-23,1.31190738935181,0.599,0.399,3.25940347028405e-18,"MT-ND1","Microglia-PVM"
9.7687273934493e-23,1.20328143486895,0.672,0.457,3.33865796125917e-18,"MT-ND2","Microglia-PVM"
4.44764031602524e-17,1.64040137122276,0.408,0.223,1.52007003080794e-12,"MTRNR2L12","Microglia-PVM"
4.48070450727181e-10,1.33392668446218,0.293,0.17,1.53137037945029e-05,"MT-ATP8","Microglia-PVM"
5.68459290228891e-08,1.18753763013013,0.316,0.207,0.00194282331621528,"MT-ND4L","Microglia-PVM"
2.61009541197806e-07,1.54330608625459,0.108,0.04,0.00892052308951743,"CHI3L1","Microglia-PVM"
5.32908142450533e-39,1.10527111200037,0.826,0.681,1.82132015845319e-34,"MT-ND1","Vip"
2.5865932021983e-12,1.93508683074923,0.121,0.05,8.84019958715314e-08,"MTRNR2L1","Vip"
1.89456606932826e-10,-1.30887320969136,0.066,0.14,6.47505845514319e-06,"SPDYE3","Vip"
2.41680721171652e-09,1.49685360837389,0.101,0.044,8.25992200748354e-05,"FP671120.4","Vip"
4.77740911133342e-09,-1.19604405489629,0.046,0.107,0.000163277511198042,"ARAP3","Vip"
1.44482447076929e-08,-1.17284519317964,0.048,0.107,0.00049379765937482,"MAP1LC3B2","Vip"
3.09554595628819e-08,-1.44069255353665,0.065,0.126,0.00105796474148062,"CNTN4-AS2","Vip"
6.75461098468221e-08,-1.11133217865213,0.082,0.146,0.00230852339623484,"AL109824.1","Vip"
1.73363611786189e-07,-1.23596907759014,0.074,0.135,0.00592504816001658,"AC096576.2","Vip"
7.92895665595761e-07,-1.12145848074643,0.059,0.112,0.0270987951630663,"FN1","Vip"
1.36832406449898e-12,-1.47063030744796,0.101,0.21,4.67652115523817e-08,"AC004039.1","Pvalb"
8.30691263323752e-11,-1.71434017995318,0.083,0.177,2.83905353066159e-06,"P2RY14","Pvalb"
1.23736099348342e-10,-1.42095580517905,0.067,0.156,4.22892866742827e-06,"AC015849.3","Pvalb"
1.32170268348925e-09,-1.38329679251145,0.1,0.192,4.51718326136121e-05,"AL109824.1","Pvalb"
1.73033497010759e-09,-1.61204215573357,0.045,0.119,5.91376582733672e-05,"AC022679.2","Pvalb"
8.7735081459188e-09,-1.52527100769982,0.062,0.137,0.000299852187903067,"AC016650.1","Pvalb"
3.50306074991813e-08,1.44237022288759,0.109,0.047,0.00119724107249952,"FP671120.4","Pvalb"
1.41925680709985e-07,1.81657859623656,0.11,0.05,0.00485059398962515,"MTRNR2L1","Pvalb"
5.91330754797118e-07,-1.50044395398375,0.044,0.102,0.0202099112067011,"Z99774.1","Pvalb"
7.51711236084652e-07,-1.50101489168508,0.065,0.128,0.0256912349156652,"AC019130.1","Pvalb"
1.35141258254931e-56,1.74376696329044,0.896,0.602,4.61872278337877e-52,"MT-ND3","Sst"
5.02731750582068e-35,1.41070385962057,0.88,0.711,1.71818630396433e-30,"MT-ATP6","Sst"
1.29142850474509e-34,1.44041382034045,0.848,0.617,4.4137152006673e-30,"MT-ND1","Sst"
3.60160864242496e-31,1.3413329064085,0.886,0.698,1.23092178572158e-26,"MT-ND4","Sst"
3.17940914753449e-26,1.35858374280351,0.846,0.676,1.08662666435286e-21,"MT-CYB","Sst"
1.21521939925502e-17,1.5802285981361,0.475,0.272,4.15325534083388e-13,"MTRNR2L12","Sst"
1.13598142117765e-09,1.48665121596778,0.188,0.082,3.88244370315885e-05,"MTRNR2L8","Sst"
2.86042323037857e-08,-1.35773338461849,0.091,0.198,0.000977606847446485,"AC115622.1","Sst"
2.99351546089406e-08,-1.38350596896487,0.091,0.199,0.00102309377906976,"LINC01482","Sst"
3.86879280118837e-08,1.30635388271832,0.234,0.129,0.00132223731566215,"FP236383.3","Sst"
